SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,ABT-GENERAL 1 CARE,67,BFTF,BRUFEN 600MG 15 TAB,15 TAB,892851D7,01-04-29,1.00000000000000,0.00000000000000,0,33.3,33.3,43.7,3,,0,0,32.30,L,0,0,0,12506,20,07,2026,1,04,29,,3175.00,2.50,2.50,0.00,30049063,0.81000000,0.81000000,0.00000000,04/29,,1542914,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,FDC-ELECTRAL,42527,ELCLY21,ELECTRAL 21.8GM ( LYCHEE ) SACH. 1PC,1 PC,035L028,01-11-27,4.67000000000000,0.33000000000000,0,17.56,17.56,23.05,3,,0,0,79.55,L,14,1,0,12506,20,07,2026,1,11,27,,3175.00,2.50,2.50,0.00,30049086,1.99000000,1.99000000,0.00000000,11/27,,1556068,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,IPCA-INTIMA,8454,PCMD,PACIMOL 15ML DROPS,DROPS,AWW0726008R,01-03-28,1.00000000000000,0.00000000000000,0,27.62,27.62,36.25,3,,0,0,26.79,L,0,0,0,12506,20,07,2026,1,03,28,,3175.00,2.50,2.50,0.00,30049069,0.67000000,0.67000000,0.00000000,03/28,,1542856,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,FDC-ELECTRAL,42528,ELCM21,ELECTRAL 21.8GM (MANGO ) SACH. 1PC,1 PC,0326C120,01-02-28,4.67000000000000,0.33000000000000,0,17.56,17.56,23.05,3,,0,0,79.55,L,14,1,0,12506,20,07,2026,1,02,28,,3175.00,2.50,2.50,0.00,30049086,1.99000000,1.99000000,0.00000000,02/28,,1556069,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,INT-NEXA,17163,ZRMV2,ZORYL-MV 2MG 15 TAB,15 TAB,N2601124,01-03-28,2.00000000000000,0.00000000000000,0,311.43,311.43,408.75,3,,0,0,604.17,L,0,0,0,12506,20,07,2026,1,03,28,,3175.00,2.50,2.50,0.00,30049099,15.10000000,15.10000000,0.00000000,03/28,,1543755,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,CPL-LIFE CARE,4047,AES,AZEE 100MG REDIUSE 15ML (LIQUID),15ML,ML26071,01-12-27,1.00000000000000,0.00000000000000,0,39.64,39.64,52.03,3,,0,0,38.45,L,9,1,0,12506,20,07,2026,1,12,27,,3175.00,2.50,2.50,0.00,30042064,0.96000000,0.96000000,0.00000000,12/27,,1536025,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,LUPIN GEN,41050,LPDM,LUPIDIUM TAB 1*10,1*10 TAB,002A26CB,01-06-28,2.00000000000000,0.00000000000000,0,3.05,3.05,12.75,3,,0,0,5.92,L,0,0,0,12506,20,07,2026,1,06,28,,3175.00,2.50,2.50,0.00,30049099,0.15000000,0.15000000,0.00000000,06/28,,1544870,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,OTC,36666,STD10,STUD 10000 SPRAY(DOUBLE GHORA),10000,B016,01-03-29,1.00000000000000,0.00000000000000,0,52.16,51.05,190,3,,0,0,50.60,L,0,0,0,12506,20,07,2026,1,03,29,,3175.00,2.50,2.50,0.00,30049034,1.26000000,1.26000000,0.00000000,03/29,,1550415,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,GERMED,23320,VGRC,VIGORE CONDOMS 10 PCS,10 PCS,251135,01-10-30,2.00000000000000,0.00000000000000,0,38.1,37.31,102,3,,0,0,73.91,L,0,0,0,12506,20,07,2026,1,10,30,,3175.00,0.00,0.00,0.00,40141010,0.00000000,0.00000000,0.00000000,10/30,,1546792,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,TORQUE GEN,23005,1HMPS,HEMO PLUS 1*225ML,*225ML,B08726006,01-10-27,1.00000000000000,0.00000000000000,0,40.82,39.96,144,3,,0,0,39.60,L,0,0,0,12506,20,07,2026,1,10,27,,3175.00,2.50,2.50,0.00,30045090,0.99000000,0.99000000,0.00000000,10/27,,1549904,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,LABORATE (G),23127,1CFCT,CEFLOX-CF CREAM 15GM,M 15GM,PCX021,01-11-27,1.00000000000000,0.00000000000000,0,15.24,14.92,94.9,3,,0,0,14.78,L,0,0,0,12506,20,07,2026,1,11,27,,3175.00,2.50,2.50,0.00,30042033,0.37000000,0.37000000,0.00000000,11/27,,1555656,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,CPLG-RETAIL VISTA,40508,PRT500,PARAFAST 500 TAB 1*10,1*10 TAB,CP60027,01-12-28,6.00000000000000,0.00000000000000,0,6.33,6.49,9.65,3,,0,0,36.84,L,0,0,0,12506,20,07,2026,1,12,28,,3175.00,2.50,2.50,0.00,30049099,0.92000000,0.92000000,0.00000000,12/28,,1518545,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,CPLG-RETAIL VISTA,40508,PRT500,PARAFAST 500 TAB 1*10,1*10 TAB,CP60027,01-12-28,4.00000000000000,0.00000000000000,0,6.33,6.49,9.65,3,,0,0,24.56,L,0,0,0,12506,20,07,2026,1,12,28,,3175.00,2.50,2.50,0.00,30049099,0.61000000,0.61000000,0.00000000,12/28,,1534557,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,INT-INTAS (G),24904,MCFOD,MECOFOL OD 1*10 TAB,10 TAB,INP26CQ15,01-04-28,1.00000000000000,0.00000000000000,0,25.41,24.86,156.56,3,,0,0,24.65,L,0,0,0,12506,20,07,2026,1,04,28,,3175.00,2.50,2.50,0.00,30045034,0.62000000,0.62000000,0.00000000,04/28,,1559699,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,ALKEM-MAXXIO,25149,LYCLS,LYCOLYFE SYP 200ML,225ML,LYS26005ED,01-03-28,1.00000000000000,0.00000000000000,0,45.36,44.41,244.7,3,,0,0,44.00,L,0,0,0,12506,20,07,2026,1,03,28,,3175.00,2.50,2.50,0.00,21069099,1.10000000,1.10000000,0.00000000,03/28,,1548400,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-120095,20/07/2026,INNOVENTIS MEDICARE LTD,37216,OPTST,OPTISOOTH EYE DROP 10ML,10ML,26EA24A,01-12-27,1.00000000000000,0.00000000000000,0,15,14.04,115.12,3,,0,0,14.55,L,0,0,0,12506,20,07,2026,1,12,27,,3175.00,2.50,2.50,0.00,30049099,0.36000000,0.36000000,0.00000000,12/27,,1537140,0.00,0.00
