SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,IPCA-ZERODOL,8162,ZRCR,ZERODOL-CR 10`TAB,10`TAB,BTK1026001BH,01-01-28,1.00000000000000,0.00000000000000,0,83.04,83.04,109,3,,0,0,80.55,L,0,0,0,12506,10,07,2026,1,01,28,,4350.00,2.50,2.50,0.00,30049069,2.01000000,2.01000000,0.00000000,01/28,,1542863,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,NC-NC2,36395,LOGM1,LOBATE-GM 10GM CREAM (NEO),10GM,NG001,01-12-27,1.00000000000000,0.00000000000000,0,66.37,66.37,87.11,3,,0,0,64.38,L,0,0,0,12506,10,07,2026,1,12,27,,4350.00,2.50,2.50,0.00,30049099,1.61000000,1.61000000,0.00000000,12/27,,1555962,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,HM-ZANDRA,9339,LVSS,LIV-52 DS 100ML SYP,SYP,111260344,01-02-29,1.00000000000000,0.00000000000000,0,171.42,171.42,225,3,,0,0,166.28,L,33,1,0,12506,10,07,2026,1,02,29,,4350.00,2.50,2.50,0.00,30049011,4.16000000,4.16000000,0.00000000,02/29,,1535053,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,SS-SYSTOPIC,8201,TPSO,TOPISAL-3% OINT. 30GM,. 30GM,933,01-02-29,1.00000000000000,0.00000000000000,0,92.95,92.95,122,3,,0,0,90.16,L,0,0,0,12506,10,07,2026,1,02,29,,4350.00,2.50,2.50,0.00,30043200,2.25000000,2.25000000,0.00000000,02/29,,1548455,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,USV-PHARMA,39841,ONR1,ONARNI  100MG 14 TAB,14 TAB,6RG03028A,01-02-28,2.00000000000000,0.00000000000000,0,160,160,210,3,,0,0,310.40,L,0,0,0,12506,10,07,2026,1,02,28,,4350.00,2.50,2.50,0.00,30049099,7.76000000,7.76000000,0.00000000,02/28,,1528882,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,MICRO-CC,6734,ADR2,AMIODAR 200MG 10`TAB,10`TAB,AUTP0037,01-11-28,2.00000000000000,0.00000000000000,0,93.64,93.64,122.9,3,,0,0,181.66,L,10,1,0,12506,10,07,2026,1,11,28,,4350.00,2.50,2.50,0.00,30049079,4.54000000,4.54000000,0.00000000,11/28,,1512020,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,TRT-PRIMA,2774,NX2,NEXPRO-20MG 15TAB,15 TAB,CF24N002,01-01-28,1.00000000000000,0.00000000000000,0,96.42,96.42,126.55,3,,0,0,93.53,L,0,0,0,12506,10,07,2026,1,01,28,,4350.00,2.50,2.50,0.00,30049039,2.34000000,2.34000000,0.00000000,01/28,,1548988,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,GLX-TEAM 2 CORE THERAPY,2929,TNO,TENOVATE-OINT 15MG,T 15MG,5HS39,01-08-27,1.00000000000000,0.00000000000000,0,85.86,85.86,112.69,3,,0,0,83.28,L,0,0,0,12506,10,07,2026,1,08,27,,4350.00,2.50,2.50,0.00,30043200,2.08000000,2.08000000,0.00000000,08/27,,1528517,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,CM-COMED,36503,MEDLT,MEDLER 10 TAB (OLD)PLAN,10 TAB,B262502,01-12-28,1.00000000000000,0.00000000000000,0,33,33,43.31,3,,0,0,32.01,L,5,1,0,12506,10,07,2026,1,12,28,,4350.00,2.50,2.50,0.00,30049099,0.80000000,0.80000000,0.00000000,12/28,,1520535,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-109595,10/07/2026,ARISTO (TF),38145,PRD4,PROSTAGARD ( D ) 4MG 10 CAP,10 CAP,BYL01ABB,01-12-27,1.00000000000000,0.00000000000000,0,142.14,142.14,186.56,3,,0,0,137.88,L,0,0,0,12506,10,07,2026,1,12,27,,4350.00,2.50,2.50,0.00,30049099,3.45000000,3.45000000,0.00000000,12/27,,1530518,0.00,0.00
