SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,PF-GPSS,817,W20,WYSOLONE-20MG 15`TAB,15`TAB,NX3719,01-01-28,3.00000000000000,0.00000000000000,0,31.39,31.39,38.24,3,,0,0,91.34,L,0,0,0,6611,01,06,2026,1,01,28,,35672.00,2.50,2.50,0.00,30043912,2.28000000,2.28000000,0.00000000,01/28,,1528385,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,IPCA-ACTIVA,18250,HCQ3,HCQS 300MG 15 TAB,15 TAB,GPI1326003BH,01-08-28,1.00000000000000,0.00000000000000,0,263.43,263.43,345.75,3,,0,0,255.53,L,0,0,0,6611,01,06,2026,1,08,28,,35672.00,2.50,2.50,0.00,30049099,6.39000000,6.39000000,0.00000000,08/28,,1521645,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,NC-NC2,36395,LOGM1,LOBATE-GM 10GM CREAM (NEO),10GM,NF038,01-05-27,4.00000000000000,0.00000000000000,0,66.37,66.37,87.11,3,,0,0,257.52,L,0,0,0,6611,01,06,2026,1,05,27,,35672.00,2.50,2.50,0.00,30049099,6.44000000,6.44000000,0.00000000,05/27,,1497357,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,NC-GENERAL MEDICINE,765,TLX,TIXYLIX 60ML SYP (NEW),(NEW),TLB25043,01-11-27,1.00000000000000,0.00000000000000,0,97.25,97.25,127.64,3,,0,0,94.33,L,9,1,0,6611,01,06,2026,1,11,27,,35672.00,2.50,2.50,0.00,30049039,2.36000000,2.36000000,0.00000000,11/27,,1476516,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,NC-NEURO PSYCHIATRY,30653,EPLS2,EPILEX  200ML SYP,200ML SYP,ALM0046A,01-03-28,2.00000000000000,0.00000000000000,0,105.6,105.6,138.6,3,,0,0,204.86,L,0,0,0,6611,01,06,2026,1,03,28,,35672.00,2.50,2.50,0.00,30044090,5.12000000,5.12000000,0.00000000,03/28,,1514125,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,MICRO-DC,33475,DIPM2F,DIAPRIDE-M2 FORTE 15 TAB,15 TAB,DIFS0092,01-02-29,1.00000000000000,0.00000000000000,0,238.48,238.48,313,3,,0,0,231.33,L,10,1,0,6611,01,06,2026,1,02,29,,35672.00,2.50,2.50,0.00,30049079,5.78000000,5.78000000,0.00000000,02/29,,1530191,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,MY-MAYER-SALES,22323,COLS,COLICAID SYP 60ML,P 60ML,306DB2602,01-03-28,2.00000000000000,0.00000000000000,0,121.14,121.14,159,3,,0,0,235.01,L,9,1,0,6611,01,06,2026,1,03,28,,35672.00,2.50,2.50,0.00,30049099,5.88000000,5.88000000,0.00000000,03/28,,1526098,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,MY-VB SALES,12549,CMSS,CALCIMAX  (+) 200ML LIQUID,LIQUID,098P2544,01-10-27,2.00000000000000,0.00000000000000,0,121.9,121.9,160,3,,0,0,236.49,L,10,1,0,6611,01,06,2026,1,10,27,,35672.00,2.50,2.50,0.00,30045020,5.91000000,5.91000000,0.00000000,10/27,,1508397,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,ALK-DERMAKEM,36586,PULI4,PULMOSMART 400MG INHALER,1 PC,IB00195A,01-12-27,1.00000000000000,0.00000000000000,0,329.28,329.28,432.18,3,,0,0,319.40,L,9,1,0,6611,01,06,2026,1,12,27,,35672.00,2.50,2.50,0.00,30049099,7.98000000,7.98000000,0.00000000,12/27,,1506694,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-67032,01/06/2026,MN-MAGNET,37929,HEPK3,HEPAKIND 300MG 10 TAB,10 TAB,K9AFZ005,01-01-28,1.00000000000000,0.00000000000000,0,322.67,322.67,423.5,3,,0,0,312.99,L,0,0,0,6611,01,06,2026,1,01,28,,35672.00,2.50,2.50,0.00,30049036,7.82000000,7.82000000,0.00000000,01/28,,1526267,0.00,0.00
