SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,TSM-(GYNAE/URO),42371,ZINCOT,ZINCO 10 TAB,10 TAB,ART-617,01-10-27,3.00000000000000,0.00000000000000,0,54.92,54.92,72.08,3,,0,0,159.82,L,0,0,0,12506,28,08,2026,1,10,27,,1803.00,2.50,2.50,0.00,30049099,4.00000000,4.00000000,0.00000000,10/27,,1550054,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,SS-SYSTOPIC,7877,LVZ5,LEVOSIZ-5MG 15 TAB (PLAN),15 TAB,HLF012604,01-12-27,1.00000000000000,0.00000000000000,0,25.14,25.143,33,3,,0,0,24.39,L,0,0,0,12506,28,08,2026,1,12,27,,1803.00,2.50,2.50,0.00,30049031,0.61000000,0.61000000,0.00000000,12/27,,1539682,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,MN-DIS.MANKIND,37204,CANDF1,CANDIFORCE 100MG 10 CAP (NEW),10 CAP,G45Z009,01-02-28,0.80000000000000,0.20000000000000,0,105.07,105.07,137.9,3,,0,0,81.54,L,4,1,0,12506,28,08,2026,1,02,28,,1803.00,2.50,2.50,0.00,30049029,2.04000000,2.04000000,0.00000000,02/28,,1578835,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,RX-PHARMA CARE(2),29460,CWN,C-WIN CREAM 30GM,M 30GM,SGD0146,01-04-28,1.00000000000000,0.00000000000000,0,198.86,198.86,261,3,,0,0,192.89,L,0,0,0,12506,28,08,2026,1,04,28,,1803.00,2.50,2.50,0.00,30049029,4.82000000,4.82000000,0.00000000,04/28,,1578023,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,GLM-GLENMARK,2763,CTC,CANDITRAL 100MG 10 CAP,10 CAP,05251457A,01-04-28,1.00000000000000,0.00000000000000,0,114.07,114.07,149.72,3,,0,0,110.65,L,0,0,0,12506,28,08,2026,1,04,28,,1803.00,2.50,2.50,0.00,30049029,2.77000000,2.77000000,0.00000000,04/28,,1587230,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,ZEE DRUGS,29544,ZGLDSO,SANDA OIL 15ML (ZEE DRUGS),DRUGS),1126-63,01-06-30,1.00000000000000,0.00000000000000,0,39.69,38.85,235,3,,0,0,38.50,L,0,0,0,12506,28,08,2026,1,06,30,,1803.00,9.00,9.00,0.00,15171029,3.46000000,3.46000000,0.00000000,06/30,,1584456,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,LEEF-HEALTHCARE,24532,CTJK,CETJOINT K2 7 1*15 CAP,15 CAP,LAL26104,01-02-28,1.00000000000000,0.00000000000000,0,45,45,150,3,,0,0,43.65,L,0,0,0,12506,28,08,2026,1,02,28,,1803.00,2.50,2.50,0.00,30045020,1.09000000,1.09000000,0.00000000,02/28,,1570843,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,FRANKLIN,22739,PRMCS,PARAMOL C + 1*10 TAB,10 TAB,PMCN-106,01-03-29,5.00000000000000,0.00000000000000,0,18.36,17.98,51,3,,0,0,89.05,L,0,0,0,12506,28,08,2026,1,03,29,,1803.00,2.50,2.50,0.00,30049099,2.23000000,2.23000000,0.00000000,03/29,,1572340,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,CPLG-RETAIL VISTA,30430,ESLXP,EASYLAX PLUS ORAL EMUL 170ML,170ML,L0346011,01-04-28,1.00000000000000,0.00000000000000,0,33.06,33.9,178.43,3,,0,0,32.07,L,0,0,0,12506,28,08,2026,1,04,28,,1803.00,2.50,2.50,0.00,30049032,0.80000000,0.80000000,0.00000000,04/28,,1552387,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,CPLG-HEALTHCARE,22460,RC1SR,REACTIN 100 SR TAB,SR TAB,CPLAH26018,01-03-29,1.00000000000000,0.00000000000000,0,9.94,10.2,76.72,3,,0,0,9.64,L,0,0,0,12506,28,08,2026,1,03,29,,1803.00,2.50,2.50,0.00,30049066,0.24000000,0.24000000,0.00000000,03/29,,1552874,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,UNIVENTIS - ULTIMA,30855,CTRS,CITRASTONE SYP 100ML,100ML,XL260248,01-02-28,1.00000000000000,0.00000000000000,0,21.34,19.98,112.3,3,,0,0,20.70,L,0,0,0,12506,28,08,2026,1,02,28,,1803.00,2.50,2.50,0.00,30049065,0.52000000,0.52000000,0.00000000,02/28,,1534384,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,UNIVENTIS - ULTIMA,29973,XTLCV,XIOTIL CV 625 1*6 TAB,*6 TAB,C1606002,01-09-27,1.00000000000000,0.00000000000000,0,124.48,116.51,510.4,3,,0,0,120.75,L,0,0,0,12506,28,08,2026,1,09,27,,1803.00,2.50,2.50,0.00,30049065,3.02000000,3.02000000,0.00000000,09/27,,1571083,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,GLM-SYNERG,4778,TM40,TELMA-40MG 15 TAB,15 TAB,18250276,01-04-28,1.00000000000000,0.00000000000000,0,82.56,82.56,108.36,3,,0,0,80.08,L,0,0,0,12506,28,08,2026,1,04,28,,1803.00,2.50,2.50,0.00,30049079,2.00000000,2.00000000,0.00000000,04/28,,1580142,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,WYT-WHC,2050,FVT,FOLVITE 1* 45 TAB,45 TAB,RH5456,01-11-27,1.00000000000000,0.00000000000000,0,59.97,59.97,73.05,3,,0,0,58.17,L,19,1,0,12506,28,08,2026,1,11,27,,1803.00,2.50,2.50,0.00,30045039,1.45000000,1.45000000,0.00000000,11/27,,1573523,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,NC-NC (GX),86,BSPT,BETNESOL 20 TAB,20 TAB,V38Y,01-11-27,5.00000000000000,0.00000000000000,0,13.36,13.36,17.53,3,,0,0,64.80,L,0,0,0,12506,28,08,2026,1,11,27,,1803.00,2.50,2.50,0.00,30043200,1.62000000,1.62000000,0.00000000,11/27,,1572720,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,SS-SYSTOPIC,7871,CRYD,CYRA-D 10`CAP,10`CAP,3CD1322,01-04-28,1.00000000000000,0.00000000000000,0,38.86,38.86,51,3,,0,0,37.69,L,0,0,0,12506,28,08,2026,1,04,28,,1803.00,2.50,2.50,0.00,30049039,0.94000000,0.94000000,0.00000000,04/28,,1577907,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,MD-MACPHER,30000,PANPP,PANDERM ++ 15GM CREAM (NEW),(NEW),18261909A,01-03-28,1.00000000000000,0.00000000000000,0,92.38,92.38,121.27,3,,0,0,89.61,L,6,1,0,12506,28,08,2026,1,03,28,,1803.00,2.50,2.50,0.00,30042039,2.24000000,2.24000000,0.00000000,03/28,,1586228,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,GLX-TEAM 2 CORE THERAPY,33888,BEDTNVT,BETNOVATE-N 25 GM CREAM,25 GM,5U8B,01-10-27,1.00000000000000,0.00000000000000,0,52.5,52.5,68.9,3,,0,0,50.92,L,19,1,0,12506,28,08,2026,1,10,27,,1803.00,2.50,2.50,0.00,30043200,1.27000000,1.27000000,0.00000000,10/27,,1584880,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-163834,28/08/2026,MICRO-GTF1,6587,DL6,DOLO 650MG 15 TAB,15 TAB,DOBS4409,01-02-30,2.50000000000000,0.50000000000000,0,24.47,24.47,32.12,3,,0,0,59.34,L,5,1,0,12506,28,08,2026,1,02,30,,1803.00,2.50,2.50,0.00,30049061,1.48000000,1.48000000,0.00000000,02/30,,1581287,0.00,0.00
