SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,NC-NC2,563,OXV,OXYTETRACYCLINE 20ML VIAL,20ML,NCL0209,01-08-27,2.00000000000000,0.00000000000000,0,34.32,34.32,45.05,3,,0,0,66.58,L,0,0,0,12506,22,06,2026,1,08,27,,1689.00,2.50,2.50,0.00,30042049,1.66000000,1.66000000,0.00000000,08/27,,1511672,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,INT-NEXA,17163,ZRMV2,ZORYL-MV 2MG 15 TAB,15 TAB,N2601120,01-03-28,1.00000000000000,0.00000000000000,0,311.43,311.43,408.75,3,,0,0,302.09,L,0,0,0,12506,22,06,2026,1,03,28,,1689.00,2.50,2.50,0.00,30049099,7.55000000,7.55000000,0.00000000,03/28,,1529753,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,LEEF-HEALTHCARE,31197,GXD3,GEOMAX D3 MAX 1*10 CAP,10 CAP,LAL26084,01-02-28,1.00000000000000,0.00000000000000,0,63,63,195,3,,0,0,61.11,L,10,2,0,12506,22,06,2026,1,02,28,,1689.00,2.50,2.50,0.00,30045020,1.53000000,1.53000000,0.00000000,02/28,,1542453,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,LEEF-HEALTHCARE,28534,RDN8,REDNISOL 8MG TAB 1*10,B 1*10,4725008,01-10-27,1.00000000000000,0.00000000000000,0,19.5,19.5,57,3,,0,0,18.91,L,0,0,0,12506,22,06,2026,1,10,27,,1689.00,2.50,2.50,0.00,30043200,0.47000000,0.47000000,0.00000000,10/27,,1485919,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,LEEF-COSMACEA,33370,ALHRC,ALITE HAIR REMOVER CREAM 60GM,60 GM,BLAQ5017,01-06-27,1.00000000000000,0.00000000000000,0,44.4,44.4,100,3,,0,0,43.07,L,11,1,0,12506,22,06,2026,1,06,27,,1689.00,9.00,9.00,0.00,33049990,3.88000000,3.88000000,0.00000000,06/27,,1541190,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,LABORATE (67),25625,MRCL3,MIRACLE 3 CREAM 20GM,M 15GM,QIL022,01-01-28,1.00000000000000,0.00000000000000,0,24.53,24.44,267,3,,0,0,23.79,L,0,0,0,12506,22,06,2026,1,01,28,,1689.00,2.50,2.50,0.00,30049029,0.59000000,0.59000000,0.00000000,01/28,,1514051,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,CPLG-HEALTHCARE,22805,1ESB,EASI BREATHE SOFTGEL 1*10,L 1*10,AMQ26BBA,01-11-27,1.00000000000000,0.00000000000000,0,20.56,21.09,84.21,3,,0,0,19.94,L,0,0,0,12506,22,06,2026,1,11,27,,1689.00,2.50,2.50,0.00,30049099,0.50000000,0.50000000,0.00000000,11/27,,1518470,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,ALKEM-FUTURA,23448,1RBIT,RABALKEM IT 1*10 CAP,10 CAP,RIC25010PK,01-11-27,1.00000000000000,0.00000000000000,0,39.18,40.18,249.5,3,,0,0,38.00,L,0,0,0,12506,22,06,2026,1,11,27,,1689.00,2.50,2.50,0.00,30049039,0.95000000,0.95000000,0.00000000,11/27,,1532062,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,UNIVENTIS - ULTIMA,26503,LPVT2,LIPIVENT 20MG 1*10 TAB,10 TAB,IC556002,01-03-29,2.00000000000000,0.00000000000000,0,18.38,17.21,135,3,,0,0,35.66,L,0,0,0,12506,22,06,2026,1,03,29,,1689.00,2.50,2.50,0.00,30049099,0.89000000,0.89000000,0.00000000,03/29,,1534437,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-90246,22/06/2026,HM-ZEAL,39576,LIVSF52,LIV-52 100ML SYP (SUGAR FREE),100ML,111260410,01-03-28,1.00000000000000,0.00000000000000,0,128,128,168,3,,0,0,124.16,L,14,1,0,12506,22,06,2026,1,03,28,,1689.00,2.50,2.50,0.00,30049011,3.10000000,3.10000000,0.00000000,03/28,,1528440,0.00,0.00
