SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,CPL-PF,271,DXT,DOLONEX-DT 15 TAB,15 TAB,NT6913,01-12-28,1.00000000000000,0.00000000000000,0,204.79,204.79,268.79,3,,0,0,198.65,L,9,1,0,6611,29,06,2026,1,12,28,,25105.00,2.50,2.50,0.00,30049066,4.97000000,4.97000000,0.00000000,12/28,,1543470,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,NC-NC2,36395,LOGM1,LOBATE-GM 10GM CREAM (NEO),10GM,NG001,01-12-27,2.00000000000000,0.00000000000000,0,66.37,66.37,87.11,3,,0,0,128.76,L,0,0,0,6611,29,06,2026,1,12,27,,25105.00,2.50,2.50,0.00,30049099,3.22000000,3.22000000,0.00000000,12/27,,1540313,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,MEN-SHALAKS (NOW MINARINI),626,PWL,PODOWART LOTION 10ML,N 10ML,BEW10AAB,01-06-28,1.00000000000000,0.00000000000000,0,222.86,222.86,292.5,3,,0,0,216.17,L,0,0,0,6611,29,06,2026,1,06,28,,25105.00,2.50,2.50,0.00,30049099,5.40000000,5.40000000,0.00000000,06/28,,1545643,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,NC-NEURO PSYCHIATRY,30653,EPLS2,EPILEX  200ML SYP,200ML SYP,ALM0056A,01-04-28,2.00000000000000,0.00000000000000,0,105.6,105.6,138.6,3,,0,0,204.86,L,0,0,0,6611,29,06,2026,1,04,28,,25105.00,2.50,2.50,0.00,30044090,5.12000000,5.12000000,0.00000000,04/28,,1533670,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,NOVA CARE,20763,GDS1,GARDENAL SYP 100ML,100ML,GRA25028,01-09-30,1.00000000000000,0.00000000000000,0,39.88,39.88,52.34,3,,0,0,38.68,L,0,0,0,6611,29,06,2026,1,09,30,,25105.00,2.50,2.50,0.00,30049081,0.97000000,0.97000000,0.00000000,09/30,,1551327,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,MICRO-GR,6635,GYC6,GLYCO ( 6 ) 30GM CREAM,CREAM,G273,01-11-26,1.00000000000000,0.00000000000000,0,157.14,157.14,206.2,3,,0,0,152.43,L,0,0,0,6611,29,06,2026,1,11,26,,25105.00,2.50,2.50,0.00,30049029,3.81000000,3.81000000,0.00000000,11/26,,1530112,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,SS-SYSTOPIC,8145,ACL1,ACNESOL 1% SOL.25ML,L.25ML,AL248,01-11-27,1.00000000000000,0.00000000000000,0,88.38,88.38,116,3,,0,0,85.73,L,0,0,0,6611,29,06,2026,1,11,27,,25105.00,2.50,2.50,0.00,30042095,2.14000000,2.14000000,0.00000000,11/27,,1520727,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,MN-GRAVITAS,11162,CFV500,CEFAKIND-CV 500MG 10 TAB,10 TAB,A1AEZ007,01-07-27,1.00000000000000,0.00000000000000,0,455.38,455.38,597.69,3,,0,0,441.72,L,11,1,0,6611,29,06,2026,1,07,27,,25105.00,2.50,2.50,0.00,30049087,11.04000000,11.04000000,0.00000000,07/27,,1514477,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,ALK-ULTICARE,1954,TOT,TAXIM-O 200MG 10`TAB,10`TAB,26460565,01-03-28,1.00000000000000,0.00000000000000,0,80.08,80.08,105.1,3,,0,0,77.68,L,0,0,0,6611,29,06,2026,1,03,28,,25105.00,2.50,2.50,0.00,30042019,1.94000000,1.94000000,0.00000000,03/28,,1541119,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,ARISTO (TF),27603,PROD8,PROSTAGARD ( D ) 8MG 10 CAP,10 CAP,BYL06AAB,01-01-28,1.00000000000000,0.00000000000000,0,194.29,194.29,255,3,,0,0,188.46,L,0,0,0,6611,29,06,2026,1,01,28,,25105.00,2.50,2.50,0.00,30049099,4.71000000,4.71000000,0.00000000,01/28,,1518190,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,ARISTO (TF),27603,PROD8,PROSTAGARD ( D ) 8MG 10 CAP,10 CAP,BYL06AAB,01-01-28,2.00000000000000,0.00000000000000,0,194.29,194.29,255,3,,0,0,376.92,L,0,0,0,6611,29,06,2026,1,01,28,,25105.00,2.50,2.50,0.00,30049099,9.42000000,9.42000000,0.00000000,01/28,,1520429,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,FDC-ELECTRAL,42527,ELCLY21,ELECTRAL 21.8GM ( LYCHEE ) SACH. 1PC,1 PC,035K055,01-10-27,9.33000000000000,0.67000000000000,0,17.56,17.56,23.05,3,,0,0,158.91,L,14,1,0,6611,29,06,2026,1,10,27,,25105.00,2.50,2.50,0.00,30049086,3.97000000,3.97000000,0.00000000,10/27,,1531744,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,WM*WIN MEDICARE,37621,BTO25,BETADINE OINT. 5% 25GM (NEW),25GM,PE00826,01-04-28,2.00000000000000,0.00000000000000,0,76.07,76.07,99.84,3,,0,0,147.58,L,19,1,0,6611,29,06,2026,1,04,28,,25105.00,2.50,2.50,0.00,30049087,3.69000000,3.69000000,0.00000000,04/28,,1548304,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,MN-MANKIND,9651,TMDH,TELMIKIND-H 10 TAB,10 TAB,B15Z012,01-12-27,2.00000000000000,0.00000000000000,0,77.94,77.94,102.3,3,,0,0,151.20,L,0,0,0,6611,29,06,2026,1,12,27,,25105.00,2.50,2.50,0.00,30049079,3.78000000,3.78000000,0.00000000,12/27,,1538353,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,TSM-NEURO,38303,MIND50,MINADO 500MG 10 TAB,10 TAB,ART 743,01-02-28,2.00000000000000,0.00000000000000,0,60.22,60.22,79.04,3,,0,0,116.83,L,0,0,0,6611,29,06,2026,1,02,28,,25105.00,2.50,2.50,0.00,30049099,2.92000000,2.92000000,0.00000000,02/28,,1547447,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,CPL-EUTPHOIA,3778,NR2,NORFLOX-200MG 10`TAB,10`TAB,STC25296,01-11-27,4.00000000000000,0.00000000000000,0,37.32,37.32,48.98,3,,0,0,144.80,L,0,0,0,6611,29,06,2026,1,11,27,,25105.00,2.50,2.50,0.00,30042031,3.62000000,3.62000000,0.00000000,11/27,,1535244,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,BLC-BC DIVISION,41841,TNBLM,TENEBLU-M 500MG 15 TAB,15 TAB,ZABQ2605,01-10-27,2.00000000000000,0.00000000000000,0,90.29,90.29,118.5,3,,0,0,175.16,L,0,0,0,6611,29,06,2026,1,10,27,,25105.00,2.50,2.50,0.00,30049039,4.38000000,4.38000000,0.00000000,10/27,,1538822,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,DABUR,29516,STIB2,SAT-ISABGOL 180+50 GM (DABUR),180+50 GM,BD0383,01-09-27,1.00000000000000,0.00000000000000,0,279.55,286.66,345,3,,0,0,271.16,L,0,0,0,6611,29,06,2026,1,09,27,,25105.00,2.50,2.50,0.00,12119032,6.78000000,6.78000000,0.00000000,09/27,,1536067,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,LEEF-HEALTHCARE,30011,LLFD,LULIFORD CREAM 10GM,M 10GM,DLUW5045,01-11-27,2.00000000000000,0.00000000000000,0,36,36,125,3,,0,0,69.84,L,19,1,0,6611,29,06,2026,1,11,27,,25105.00,2.50,2.50,0.00,30049029,1.75000000,1.75000000,0.00000000,11/27,,1528222,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,LEEF-HEALTHCARE,24762,CLSLS,CLINSOL SOAP 75G,AP 75G,LS26037,01-02-28,3.00000000000000,0.00000000000000,0,36,36,80,3,,0,0,104.76,L,0,0,0,6611,29,06,2026,1,02,28,,25105.00,2.50,2.50,0.00,34011190,2.62000000,2.62000000,0.00000000,02/28,,1542031,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,FRANKLIN,22739,PRMCS,PARAMOL C + 1*10 TAB,10 TAB,PMCN-106,01-03-29,1.00000000000000,0.00000000000000,0,18.36,17.98,51,3,,0,0,17.81,L,0,0,0,6611,29,06,2026,1,03,29,,25105.00,2.50,2.50,0.00,30049099,0.45000000,0.45000000,0.00000000,03/29,,1532197,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,FRANKLIN,22739,PRMCS,PARAMOL C + 1*10 TAB,10 TAB,PMCN-106,01-03-29,19.00000000000000,0.00000000000000,0,18.36,17.98,51,3,,0,0,338.37,L,0,0,0,6611,29,06,2026,1,03,29,,25105.00,2.50,2.50,0.00,30049099,8.46000000,8.46000000,0.00000000,03/29,,1532197,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,MOREPEN (G),31967,CMCB,CALCIQUICK-MCB TAB 1*10,1*10,IDM26003,01-02-28,5.00000000000000,0.00000000000000,0,27,26.18,262.5,3,,0,0,130.95,L,0,0,0,6611,29,06,2026,1,02,28,,25105.00,2.50,2.50,0.00,30045090,3.27000000,3.27000000,0.00000000,02/28,,1545245,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,PIRAMAL-ZIVON (OTC),2756,NKS,NEKO 100GM SOAP *,SOAP *,NBVG001,01-12-27,2.00000000000000,0.00000000000000,0,57.47,57.47,71,3,,0,0,111.49,L,0,0,0,6611,29,06,2026,1,12,27,,25105.00,2.50,2.50,0.00,34011190,2.79000000,2.79000000,0.00000000,12/27,,1525871,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,CPLG-CIPLA (OTC),22957,OG7,OMNI GEL CREAM 1*75GM,1*75GM,D225182,01-09-27,1.00000000000000,0.00000000000000,0,133.37,136.76,288.23,3,,0,0,129.37,L,0,0,0,6611,29,06,2026,1,09,27,,25105.00,2.50,2.50,0.00,30049066,3.23000000,3.23000000,0.00000000,09/27,,1510378,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,CPLG-CIPLA (OTC),22754,1OMN5,OMNI GEL CREAM 1*50GM,1*50GM,D226014,01-12-27,2.00000000000000,0.00000000000000,0,97.1,99.57,203.12,3,,0,0,188.37,L,0,0,0,6611,29,06,2026,1,12,27,,25105.00,2.50,2.50,0.00,30049066,4.71000000,4.71000000,0.00000000,12/27,,1543959,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,INT-INTAS (G),24904,MCFOD,MECOFOL OD 1*10 TAB,10 TAB,INP26CQ09,01-02-28,2.00000000000000,0.00000000000000,0,25.25,24.7,156.56,3,,0,0,48.98,L,0,0,0,6611,29,06,2026,1,02,28,,25105.00,2.50,2.50,0.00,30045034,1.22000000,1.22000000,0.00000000,02/28,,1548176,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,CPLG-CIPLA (OTC),35628,NC4F,NICOTEX 4MG FRUIT BURST 1*9 GUMS,9 GUMS,5M90301,01-03-27,1.00000000000000,0.00000000000000,0,80.14,80.14,113.94,3,,0,0,77.74,L,0,0,0,6611,29,06,2026,1,03,27,,25105.00,9.00,9.00,0.00,24049100,7.00000000,7.00000000,0.00000000,03/27,,1535785,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,PIRAMAL-TRISHUL,596,PM2,POLARAMINE-2MG 1*10 TAB,1*10 TAB,E26301,01-12-28,1.00000000000000,0.00000000000000,0,23.43,23.43,30.75,3,,0,0,22.73,L,0,0,0,6611,29,06,2026,1,12,28,,25105.00,2.50,2.50,0.00,30049039,0.57000000,0.57000000,0.00000000,12/28,,1548463,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,PIRAMAL-TRISHUL,596,PM2,POLARAMINE-2MG 1*10 TAB,1*10 TAB,E26301,01-12-28,1.00000000000000,0.00000000000000,0,23.43,23.43,30.75,3,,0,0,22.73,L,0,0,0,6611,29,06,2026,1,12,28,,25105.00,2.50,2.50,0.00,30049039,0.57000000,0.57000000,0.00000000,12/28,,1548463,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,CPLG-CIPLA (OTC),22609,NC2P,NICOTEX 2MG PAAN 1*12GUMS,9 GUMS,6M90222,01-02-28,2.00000000000000,0.00000000000000,0,86.6,86.6,123.1,3,,0,0,168.00,L,0,0,0,6611,29,06,2026,1,02,28,,25105.00,9.00,9.00,0.00,24049100,15.12000000,15.12000000,0.00000000,02/28,,1535786,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,ALK-NOVOKEM,26668,CPL50,CEPHAL CAPS 500MG 1*10,G 1*10,25890008,01-10-27,5.00000000000000,0.00000000000000,0,51.3,51.63,186.55,3,,0,0,248.80,L,0,0,0,6611,29,06,2026,1,10,27,,25105.00,2.50,2.50,0.00,30042012,6.22000000,6.22000000,0.00000000,10/27,,1546354,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,ALKEM-FUTURA,23197,PFMR,POWERFLAM MR 1*10 TAB,10 TAB,PMT26054PK,01-01-28,10.00000000000000,0.00000000000000,0,15.64,16.05,107.8,3,,0,0,151.71,L,0,0,0,6611,29,06,2026,1,01,28,,25105.00,2.50,2.50,0.00,30049069,3.79000000,3.79000000,0.00000000,01/28,,1532060,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,ABBOT G PRIORITY,22978,RNM2C,RONEMOX 250MG (R/W) 1*10 CAP,10 CAP,MRL0104,01-01-27,15.00000000000000,0.00000000000000,0,9.74,9.99,27.32,3,,0,0,141.72,L,0,0,0,6611,29,06,2026,1,01,27,,25105.00,2.50,2.50,0.00,30041030,3.54000000,3.54000000,0.00000000,01/27,,1543690,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,UNIVENTIS - ULTIMA,26543,LSRDH,LOSARIDE H 1*10 TAB,10 TAB,IC575002,01-10-28,2.00000000000000,0.00000000000000,0,13.93,13.05,74.86,3,,0,0,27.02,L,0,0,0,6611,29,06,2026,1,10,28,,25105.00,2.50,2.50,0.00,30049099,0.68000000,0.68000000,0.00000000,10/28,,1473924,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,UNIVENTIS - ULTIMA,26543,LSRDH,LOSARIDE H 1*10 TAB,10 TAB,IC576002,01-01-29,1.00000000000000,0.00000000000000,0,14.82,13.88,74.86,3,,0,0,14.38,L,0,0,0,6611,29,06,2026,1,01,29,,25105.00,2.50,2.50,0.00,30049099,0.36000000,0.36000000,0.00000000,01/29,,1499796,0.00,0.00
BRAR MEDICOSE (JHUGHIAN),SB-26-97268,29/06/2026,UNIVENTIS - ULTIMA,30677,ITXOC,ITROMAX-OC CREAM 15GM,M 15GM,60063,01-01-28,10.00000000000000,0.00000000000000,0,26.08,24.43,129.76,3,,0,0,252.98,L,0,0,0,6611,29,06,2026,1,01,28,,25105.00,2.50,2.50,0.00,30049065,6.32000000,6.32000000,0.00000000,01/28,,1527097,0.00,0.00
