SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,MN-OCULARIS,19352,NPSTD,NEPASTAR 5ML EYE DROPS,5ML DROPS,J6GKY005-,01-12-26,1.00000000000000,0.00000000000000,0,156.86,156.86,205.88,3,,0,0,152.15,L,5,1,0,12506,30,01,2026,1,12,26,,1648.00,2.50,2.50,0.00,30049069,3.80000000,3.80000000,0.00000000,12/26,,1421217,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,HM-ZANDRA,9339,LVSS,LIV-52 DS 100ML SYP,SYP,111251272,01-10-28,1.00000000000000,0.00000000000000,0,171.42,171.42,225,3,,0,0,166.28,L,0,0,0,12506,30,01,2026,1,10,28,,1648.00,2.50,2.50,0.00,30049011,4.16000000,4.16000000,0.00000000,10/28,,1442224,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,MY-MAYER-SALES,31572,ULD3D,ULTRA-D3 DROPS 15ML (SMALL) (400IU),SMALL),606P2528,01-10-27,1.00000000000000,0.00000000000000,0,31.86,31.86,41.81,3,,0,0,30.90,L,9,1,0,12506,30,01,2026,1,10,27,,1648.00,2.50,2.50,0.00,30045036,0.77000000,0.77000000,0.00000000,10/27,,1445485,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,TORQUE 2,42039,MDSSS,MEDISALIC OINT 1*10GM (SMALL),10 GM,B40625001,01-06-27,1.00000000000000,0.00000000000000,0,36.29,35.52,89,3,,0,0,35.20,L,5,1,0,12506,30,01,2026,1,06,27,,1648.00,2.50,2.50,0.00,30049029,0.88000000,0.88000000,0.00000000,06/27,,1433616,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,LEEF-HEALTHCARE,27912,VVDPS,VOVEDIC PLUS GEL 30GM,L 30GM,DLQO4010,01-10-26,1.00000000000000,0.00000000000000,0,29.55,29.55,92.81,3,,0,0,28.66,L,19,1,0,12506,30,01,2026,1,10,26,,1648.00,2.50,2.50,0.00,30049066,0.72000000,0.72000000,0.00000000,10/26,,1368565,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,CONCEPT (G),27305,ERCN5,ERYCON 500MG 1*10 TAB,10 TAB,AGT50354,01-02-28,2.00000000000000,0.00000000000000,0,39.69,38.84,110.62,3,,0,0,77.00,L,0,0,0,12506,30,01,2026,1,02,28,,1648.00,2.50,2.50,0.00,30042061,1.92000000,1.92000000,0.00000000,02/28,,1412943,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,CPLG-VITAL CARE,25439,NCPB,NICIP 100 (BLUE) 1*10 TAB,10 TAB,5B50420,01-03-28,5.00000000000000,0.00000000000000,0,5.63,5.89,37.03,3,,0,0,27.31,L,0,0,0,12506,30,01,2026,1,03,28,,1648.00,2.50,2.50,0.00,30049067,0.68000000,0.68000000,0.00000000,03/28,,1309694,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,LABORATE (G),22358,GNCD,GENTACORT-D EYE/EAR DROP 1*10ML (1BOX+SCHEME),1*10ML,PGDOL005,01-05-27,1.00000000000000,0.00000000000000,0,10.7,10.78,69.3,3,,0,0,10.38,L,0,0,0,12506,30,01,2026,1,05,27,,1648.00,2.50,2.50,0.00,30049099,0.26000000,0.26000000,0.00000000,05/27,,1446098,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,ALKEM-MAXXIO,25149,LYCLS,LYCOLYFE SYP 200ML,225ML,LYS25016ED,01-07-27,1.00000000000000,0.00000000000000,0,40.94,40.08,244.7,3,,0,0,39.71,L,0,0,0,12506,30,01,2026,1,07,27,,1648.00,2.50,2.50,0.00,21069099,0.99000000,0.99000000,0.00000000,07/27,,1446748,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,PIL (GEN),35121,PVPG,POVIPIL GARGLE 100ML,100ML,PPL020,01-03-27,1.00000000000000,0.00000000000000,0,29.15,28.53,150,3,,0,0,28.28,L,0,0,0,12506,30,01,2026,1,03,27,,1648.00,2.50,2.50,0.00,30049087,0.71000000,0.71000000,0.00000000,03/27,,1449539,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,PIL (GEN),29644,PVP1S,POVIPIL 5% SOLUTION 100ML,100ML,PVS018,01-08-27,1.00000000000000,0.00000000000000,0,24.3,23.81,45.15,3,,0,0,23.57,L,0,0,0,12506,30,01,2026,1,08,27,,1648.00,2.50,2.50,0.00,30049087,0.59000000,0.59000000,0.00000000,08/27,,1442549,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,ZY-ALIDAC FORTI,534,OCC,OCID 20MG 20`CAP,20`CAP,IA01376A,01-05-27,1.00000000000000,0.00000000000000,0,46.7,46.7,61.3,3,,0,0,45.30,L,9,1,0,12506,30,01,2026,1,05,27,,1648.00,2.50,2.50,0.00,30049034,1.13000000,1.13000000,0.00000000,05/27,,1455570,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-25-319171,30/01/2026,ALK-ALPHA,1957,A2Z,A TO Z  NS (+) 15 TAB,15 TAB,25490962,01-02-27,1.00000000000000,0.00000000000000,0,130.17,130.17,170.85,3,,0,0,126.26,L,9,1,0,12506,30,01,2026,1,02,27,,1648.00,2.50,2.50,0.00,21069099,3.16000000,3.16000000,0.00000000,02/27,,1444161,0.00,0.00
