SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,MICRO-DTF2,6649,MLM5,MELMET-SR 500MG 20 TAB,20 TAB,MEDS0243,01-10-28,1.00000000000000,0.00000000000000,0,33.12,33.12,43.47,3,,0,0,32.13,L,10,1,0,12506,13,07,2026,1,10,28,,1873.00,2.50,2.50,0.00,30049079,0.80000000,0.80000000,0.00000000,10/28,,1555139,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,USV-CONDOR(1),10546,ECG1,ECOSPRIN GOLD 10MG 15 CAP,15 CAP,EGSC26012,01-08-27,1.00000000000000,0.00000000000000,0,111.6,111.6,139.5,3,,0,0,108.25,L,0,0,0,12506,13,07,2026,1,08,27,,1873.00,2.50,2.50,0.00,30049062,2.71000000,2.71000000,0.00000000,08/27,,1550357,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,FDC-ELECTRAL,42528,ELCM21,ELECTRAL 21.8GM (MANGO ) SACH. 1PC,1 PC,0326C120,01-02-28,4.67000000000000,0.33000000000000,0,17.56,17.56,23.05,3,,0,0,79.55,L,14,1,0,12506,13,07,2026,1,02,28,,1873.00,2.50,2.50,0.00,30049086,1.99000000,1.99000000,0.00000000,02/28,,1556069,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,MD-MACLEODS PHARMA,8106,CFCS,CEFOLAC 50MG DRY SYP.,SYP.,18261115A,01-02-28,1.00000000000000,0.00000000000000,0,39.27,39.27,52.09,3,,0,0,38.09,L,11,1,0,12506,13,07,2026,1,02,28,,1873.00,2.50,2.50,0.00,30042019,0.95000000,0.95000000,0.00000000,02/28,,1534913,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,LEEF-HEALTHCARE,23372,DNCI,DYNACID SF (ICE CREAM) FLAV 170ML,170ML,BTLH25030,01-11-27,1.00000000000000,0.00000000000000,0,53.29,53.29,117,3,,0,0,51.69,L,9,1,0,12506,13,07,2026,1,11,27,,1873.00,2.50,2.50,0.00,30049039,1.29000000,1.29000000,0.00000000,11/27,,1542023,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,CPLG-RETAIL VISTA,30428,CPD3C,CIPCAL D3 SOFTGELS 1*4,LS 1*4,AMQ04CNB,01-01-28,1.00000000000000,0.00000000000000,0,24.21,24.83,131.53,3,,0,0,23.48,L,0,0,0,12506,13,07,2026,1,01,28,,1873.00,2.50,2.50,0.00,30049099,0.59000000,0.59000000,0.00000000,01/28,,1534534,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,COLES,26157,RBCR1,RBC RED SYP 100ML,100ML,DRC-022,01-12-27,1.00000000000000,0.00000000000000,0,15.88,15.53,80,3,,0,0,15.40,L,0,0,0,12506,13,07,2026,1,12,27,,1873.00,2.50,2.50,0.00,30045039,0.38000000,0.38000000,0.00000000,12/27,,1543697,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,UNIVENTIS - ULTIMA,40136,VTRN2X,VENTORAN 2X SPRAY 35G,35GM,VNT25002,01-09-27,1.00000000000000,0.00000000000000,0,68.76,64.38,180.4,3,,0,0,66.70,L,0,0,0,12506,13,07,2026,1,09,27,,1873.00,2.50,2.50,0.00,30049069,1.67000000,1.67000000,0.00000000,09/27,,1550838,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,CW-CUREWELL,30762,WMZMD,WIMZYME DROPS 15ML,S 15ML,26D-3140,01-03-28,1.00000000000000,0.00000000000000,0,10.66,10.43,51,3,,0,0,10.34,L,0,0,0,12506,13,07,2026,1,03,28,,1873.00,2.50,2.50,0.00,30049084,0.26000000,0.26000000,0.00000000,03/28,,1553061,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-112539,13/07/2026,PIL (GEN),23261,1SNC,SNEECURE EXTRA  1*10 TAB,10 TAB,AIW46005,01-02-28,4.00000000000000,0.00000000000000,0,12.47,12.17,49.77,3,,0,0,48.38,L,0,0,0,12506,13,07,2026,1,02,28,,1873.00,2.50,2.50,0.00,30049067,1.21000000,1.21000000,0.00000000,02/28,,1528057,0.00,0.00
