SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,EMP-P & G 1,17962,CBTG,CLOBETAMIL-G 30GM CREAM,30GM CREAM,6061C83906,01-11-27,1.00000000000000,0.00000000000000,0,38.68,38.68,50.77,3,,0,0,37.52,L,0,0,0,12506,29,06,2026,1,11,27,,2827.00,2.50,2.50,0.00,30049029,0.94000000,0.94000000,0.00000000,11/27,,1521709,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,ALK-ALPHA,40939,ATZ3,A TO Z NS DROP 30 ML (NEW),30ML,26490457,01-06-27,1.00000000000000,0.00000000000000,0,110.48,110.48,145,3,,0,0,107.17,L,0,0,0,12506,29,06,2026,1,06,27,,2827.00,2.50,2.50,0.00,21069099,2.68000000,2.68000000,0.00000000,06/27,,1538804,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,MD-MACPHER,16053,MCB1,MACBERY 100ML SYP,ML SYP,14260470A,01-12-27,1.00000000000000,0.00000000000000,0,94.05,94.05,123.46,3,,0,0,91.23,L,0,0,0,12506,29,06,2026,1,12,27,,2827.00,2.50,2.50,0.00,30049031,2.28000000,2.28000000,0.00000000,12/27,,1518172,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,SUN-SYGNUS,40609,LACTL,LACTIFIBER 210GM POWDER,210GM,GKH0196A,01-01-28,1.00000000000000,0.00000000000000,0,392.86,392.86,515.63,3,,0,0,381.07,L,0,0,0,12506,29,06,2026,1,01,28,,2827.00,2.50,2.50,0.00,30049039,9.53000000,9.53000000,0.00000000,01/28,,1531227,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,SUN-SEPHEUS,9182,BTR4,BETACAP-TR 40MG 10`CAP,10`CAP,SIH0082A,01-12-27,1.00000000000000,0.00000000000000,0,34.5,34.5,45.28,3,,0,0,33.46,L,0,0,0,12506,29,06,2026,1,12,27,,2827.00,2.50,2.50,0.00,30049074,0.84000000,0.84000000,0.00000000,12/27,,1524589,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,OTC,27313,2MGC,2 MUCH GOLD CAP 1*6,AP 1*6,203,01-12-28,1.00000000000000,0.00000000000000,0,116.64,115.05,180,3,,0,0,113.14,L,0,0,0,12506,29,06,2026,1,12,28,,2827.00,2.50,2.50,0.00,30049099,2.83000000,2.83000000,0.00000000,12/28,,1550407,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,LEEF-HEALTHCARE,31197,GXD3,GEOMAX D3 MAX 1*10 CAP,10 CAP,LAL26084,01-02-28,1.00000000000000,0.00000000000000,0,63,63,195,3,,0,0,61.11,L,10,2,0,12506,29,06,2026,1,02,28,,2827.00,2.50,2.50,0.00,30045020,1.53000000,1.53000000,0.00000000,02/28,,1542453,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,OTC,6236,CMNC,COMMANDO 20`CAP,20`CAP,1595,01-12-28,1.00000000000000,0.00000000000000,0,71.58,72.34,150,3,,0,0,69.43,L,0,0,0,12506,29,06,2026,1,12,28,,2827.00,2.50,2.50,0.00,30049065,1.74000000,1.74000000,0.00000000,12/28,,1509598,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,MOREPEN (G),31967,CMCB,CALCIQUICK-MCB TAB 1*10,1*10,DT601072B,01-12-27,1.00000000000000,0.00000000000000,0,27,26.18,262.5,3,,0,0,26.19,L,0,0,0,12506,29,06,2026,1,12,27,,2827.00,2.50,2.50,0.00,30045090,0.65000000,0.65000000,0.00000000,12/27,,1526430,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,CPLG-VITAL CARE,22593,1NCPT,NICIP - P  GOLDEN 1*10 TAB,10 TAB,AMQ02BWB,01-01-29,2.00000000000000,0.00000000000000,0,12.18,12.4,63.93,3,,0,0,23.63,L,0,0,0,12506,29,06,2026,1,01,29,,2827.00,2.50,2.50,0.00,30049069,0.59000000,0.59000000,0.00000000,01/29,,1537242,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,CPLG-CIPLA (OTC),33864,CPHP2,CLOCIP PRICKLYHEAT POWDER 150GM,150GM,PHP25027,01-07-27,1.00000000000000,0.00000000000000,0,68.13,67.92,125,3,,0,0,66.09,L,0,0,0,12506,29,06,2026,1,07,27,,2827.00,2.50,2.50,0.00,30049011,1.65000000,1.65000000,0.00000000,07/27,,1547506,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,IND SWIFT (G),23099,1CTPT,C TIN PLUS TAB 1*10 (ADV),B 1*10,TIS-252777,01-10-27,5.00000000000000,0.00000000000000,0,5.1,5.04,44.91,3,,0,0,24.73,L,0,0,0,12506,29,06,2026,1,10,27,,2827.00,2.50,2.50,0.00,30049099,0.62000000,0.62000000,0.00000000,10/27,,1511576,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-97117,29/06/2026,UNIVENTIS - OPTIMA,31160,BDRN,BUDERON 0.5 MG RESPULES 5*2ML,5*2ML,015014,01-11-27,1.00000000000000,0.00000000000000,0,41.49,38.88,127.15,3,,0,0,40.25,L,0,0,0,12506,29,06,2026,1,11,27,,2827.00,2.50,2.50,0.00,30043200,1.01000000,1.01000000,0.00000000,11/27,,1515518,0.00,0.00
