SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,NC-NC2,36395,LOGM1,LOBATE-GM 10GM CREAM (NEO),10GM,NG003,01-01-28,1.00000000000000,0.00000000000000,0,66.37,66.37,87.11,3,,0,0,64.38,L,0,0,0,12506,31,08,2026,1,01,28,,2121.00,2.50,2.50,0.00,30049099,1.61000000,1.61000000,0.00000000,01/28,,1582488,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,MN-DIS.MANKIND,40458,PANRF2,PANTAKIND RAFT 200ML SYP,200ML,D9CMZ017,01-06-27,1.00000000000000,0.00000000000000,0,154.87,154.87,203.26,3,,0,0,150.22,L,5,1,0,12506,31,08,2026,1,06,27,,2121.00,2.50,2.50,0.00,30049039,3.76000000,3.76000000,0.00000000,06/27,,1517503,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,TSM-(GYNAE/URO),42371,ZINCOT,ZINCO 10 TAB,10 TAB,ART-617,01-10-27,1.00000000000000,0.00000000000000,0,54.92,54.92,72.08,3,,0,0,53.27,L,0,0,0,12506,31,08,2026,1,10,27,,2121.00,2.50,2.50,0.00,30049099,1.33000000,1.33000000,0.00000000,10/27,,1550054,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,ARISTO (TF2),24446,TELB50,TELVAS BETA 50MG 10 TAB,10 TAB,BPD260688,01-03-28,1.00000000000000,0.00000000000000,0,110.71,110.71,145.31,3,,0,0,107.39,L,0,0,0,12506,31,08,2026,1,03,28,,2121.00,2.50,2.50,0.00,30049079,2.68000000,2.68000000,0.00000000,03/28,,1582388,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,CM-COMED,36503,MEDLT,MEDLER 10 TAB (OLD)PLAN,10 TAB,B262504,01-01-29,1.00000000000000,0.00000000000000,0,33,33,43.31,3,,0,0,32.01,L,5,1,0,12506,31,08,2026,1,01,29,,2121.00,2.50,2.50,0.00,30049099,0.80000000,0.80000000,0.00000000,01/29,,1588929,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,CM-COMED,36503,MEDLT,MEDLER 10 TAB (OLD)PLAN,10 TAB,B262504,01-01-29,0.67000000000000,0.33000000000000,0,33,33,43.31,3,,0,0,21.45,L,5,1,0,12506,31,08,2026,1,01,29,,2121.00,2.50,2.50,0.00,30049099,0.54000000,0.54000000,0.00000000,01/29,,1588929,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,OTC,27313,2MGC,2 MUCH GOLD CAP 1*6,AP 1*6,203,01-12-28,1.00000000000000,0.00000000000000,0,116.64,115.05,180,3,,0,0,113.14,L,0,0,0,12506,31,08,2026,1,12,28,,2121.00,2.50,2.50,0.00,30049099,2.83000000,2.83000000,0.00000000,12/28,,1584017,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,LEEF-HEALTHCARE,22924,MDATC,MEDOC AT CAP 1*10,P 1*10,9096003,01-11-27,1.00000000000000,0.00000000000000,0,45,45,150,3,,0,0,43.65,L,0,0,0,12506,31,08,2026,1,11,27,,2121.00,2.50,2.50,0.00,30045039,1.09000000,1.09000000,0.00000000,11/27,,1584601,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,CW-CUREWELL,29232,DLSPSS,DOLOSPAS SYP 60ML,P 60ML,26E-3136,01-04-28,1.00000000000000,0.00000000000000,0,14.29,13.99,56,3,,0,0,13.86,L,0,0,0,12506,31,08,2026,1,04,28,,2121.00,2.50,2.50,0.00,30049035,0.35000000,0.35000000,0.00000000,04/28,,1568115,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-166330,31/08/2026,CPLG-HEALTHCARE,22460,RC1SR,REACTIN 100 SR TAB,SR TAB,CPLAH26018,01-03-29,1.00000000000000,0.00000000000000,0,9.94,10.2,76.72,3,,0,0,9.64,L,0,0,0,12506,31,08,2026,1,03,29,,2121.00,2.50,2.50,0.00,30049066,0.24000000,0.24000000,0.00000000,03/29,,1552874,0.00,0.00
