SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,MEN-SHALAKS (NOW MINARINI),627,PWSL,PODOWART-S LOTION 10ML,N 10ML,BEW01ABB,01-06-28,1.00000000000000,0.00000000000000,0,248.57,248.57,326.25,3,,0,0,241.11,L,0,0,0,12506,03,07,2026,1,06,28,,3217.00,2.50,2.50,0.00,30049099,6.03000000,6.03000000,0.00000000,06/28,,1519992,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,INT-NEXA,17163,ZRMV2,ZORYL-MV 2MG 15 TAB,15 TAB,N2601120,01-03-28,1.00000000000000,0.00000000000000,0,311.43,311.43,408.75,3,,0,0,302.09,L,0,0,0,12506,03,07,2026,1,03,28,,3217.00,2.50,2.50,0.00,30049099,7.55000000,7.55000000,0.00000000,03/28,,1529753,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,LEEF-HEALTHCARE,22909,ETF9,ETOFORD 90MG 1*10 TAB,10 TAB,EFD601A,01-12-27,1.00000000000000,0.00000000000000,0,29.4,29.4,102,3,,0,0,28.52,L,0,0,0,12506,03,07,2026,1,12,27,,3217.00,2.50,2.50,0.00,30049069,0.71000000,0.71000000,0.00000000,12/27,,1535505,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,LEEF-HEALTHCARE,24532,CTJK,CETJOINT K2 7 1*15 CAP,15 CAP,LAL26071,01-02-28,1.00000000000000,0.00000000000000,0,45,45,150,3,,0,0,43.65,L,0,0,0,12506,03,07,2026,1,02,28,,3217.00,2.50,2.50,0.00,30045020,1.09000000,1.09000000,0.00000000,02/28,,1508071,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,LABORATE (67),36888,DCLB,DICLOLAB PLUS TAB 1*10 (WHITE),1*10,DLPDT6012,01-02-29,5.00000000000000,0.00000000000000,0,5.67,5.55,34.5,3,,0,0,27.50,L,0,0,0,12506,03,07,2026,1,02,29,,3217.00,2.50,2.50,0.00,30049069,0.69000000,0.69000000,0.00000000,02/29,,1539556,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,OTC,36666,STD10,STUD 10000 SPRAY(DOUBLE GHORA),10000,B015,01-03-29,1.00000000000000,0.00000000000000,0,52.16,51.05,190,3,,0,0,50.60,L,0,0,0,12506,03,07,2026,1,03,29,,3217.00,2.50,2.50,0.00,30049034,1.26000000,1.26000000,0.00000000,03/29,,1540973,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,LEEF-HEALTHCARE,29077,FRLXT,FREELEX TAB 1*10,B 1*10,4416001,01-03-28,4.00000000000000,0.00000000000000,0,5,5,12,3,,0,0,19.40,L,0,0,0,12506,03,07,2026,1,03,28,,3217.00,2.50,2.50,0.00,30049039,0.48000000,0.48000000,0.00000000,03/28,,1553743,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,MOREPEN (G),31967,CMCB,CALCIQUICK-MCB TAB 1*10,1*10,DT601072B,01-12-27,1.00000000000000,0.00000000000000,0,27,26.18,262.5,3,,0,0,26.19,L,0,0,0,12506,03,07,2026,1,12,27,,3217.00,2.50,2.50,0.00,30045090,0.65000000,0.65000000,0.00000000,12/27,,1526430,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,CPLG-RETAIL VISTA,30428,CPD3C,CIPCAL D3 SOFTGELS 1*4,LS 1*4,AMQ04CNB,01-01-28,1.00000000000000,0.00000000000000,0,24.21,24.83,131.53,3,,0,0,23.48,L,0,0,0,12506,03,07,2026,1,01,28,,3217.00,2.50,2.50,0.00,30049099,0.59000000,0.59000000,0.00000000,01/28,,1534534,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-102215,03/07/2026,CPLG-CIPLA (OTC),33864,CPHP2,CLOCIP PRICKLYHEAT POWDER 150GM,150GM,PHP25027,01-07-27,1.00000000000000,0.00000000000000,0,68.13,67.92,125,3,,0,0,66.09,L,0,0,0,12506,03,07,2026,1,07,27,,3217.00,2.50,2.50,0.00,30049011,1.65000000,1.65000000,0.00000000,07/27,,1547506,0.00,0.00
