SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,CM-COMED,17812,MDPS,MEDLER-PLUS 60ML SYP,L SUS.,BL260501,01-12-27,1.00000000000000,0.00000000000000,0,62.79,62.79,82.41,3,,0,0,60.91,L,5,1,0,12506,08,06,2026,1,12,27,,2026.00,2.50,2.50,0.00,30049093,1.52000000,1.52000000,0.00000000,12/27,,1530843,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,MICRO-DC,33984,VILDOD1,VILDAPRIDE-OD 100MG 15 TAB,15 TAB,VILS0008,01-10-27,1.00000000000000,0.00000000000000,0,153.14,153.14,201,3,,0,0,148.55,L,10,1,0,12506,08,06,2026,1,10,27,,2026.00,2.50,2.50,0.00,30049079,3.71000000,3.71000000,0.00000000,10/27,,1519169,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,TRT-PRIMA,2774,NX2,NEXPRO-20MG 15TAB,15 TAB,CF24M004,01-10-27,1.00000000000000,0.00000000000000,0,96.42,96.42,126.55,3,,0,0,93.53,L,0,0,0,12506,08,06,2026,1,10,27,,2026.00,2.50,2.50,0.00,30049039,2.34000000,2.34000000,0.00000000,10/27,,1484424,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,INT-NEXA,17163,ZRMV2,ZORYL-MV 2MG 15 TAB,15 TAB,N2601119,01-03-28,1.00000000000000,0.00000000000000,0,311.43,311.43,408.75,3,,0,0,302.09,L,0,0,0,12506,08,06,2026,1,03,28,,2026.00,2.50,2.50,0.00,30049099,7.55000000,7.55000000,0.00000000,03/28,,1525502,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,LEEF-HEALTHCARE,22876,VVDI,VOVEDIC INJ 1*1ML,1*1ML,LFP25203,01-10-27,10.00000000000000,0.00000000000000,0,6,6,13,3,,0,0,58.20,L,0,0,0,12506,08,06,2026,1,10,27,,2026.00,2.50,2.50,0.00,30049066,1.46000000,1.46000000,0.00000000,10/27,,1528255,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,LEEF-HEALTHCARE,31197,GXD3,GEOMAX D3 MAX 1*10 CAP,10 CAP,LAL25297,01-10-27,1.00000000000000,0.00000000000000,0,63,63,195,3,,0,0,61.11,L,10,2,0,12506,08,06,2026,1,10,27,,2026.00,2.50,2.50,0.00,30045020,1.53000000,1.53000000,0.00000000,10/27,,1528208,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,CPLG-RETAIL VISTA,30430,ESLXP,EASYLAX PLUS ORAL EMUL 170ML,170ML,L0346001,01-12-27,1.00000000000000,0.00000000000000,0,31.51,32.3,178.43,3,,0,0,30.56,L,0,0,0,12506,08,06,2026,1,12,27,,2026.00,2.50,2.50,0.00,30049032,0.76000000,0.76000000,0.00000000,12/27,,1479418,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,AIMIL,27682,SMNTC,SEMENTO CAP 1*20,P 1*20,NSMC-702-H,01-01-30,1.00000000000000,0.00000000000000,0,181.62,177.76,290,3,,0,0,176.17,L,0,0,0,12506,08,06,2026,1,01,30,,2026.00,2.50,2.50,0.00,30049099,4.40000000,4.40000000,0.00000000,01/30,,1513589,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,INNOVENTIS MEDICARE LTD,37419,ENTRL,ENTEROLIUM SUSP 5ML,5ML,DELT00126,01-02-28,10.00000000000000,0.00000000000000,0,15.19,14.22,60.93,3,,0,0,147.34,L,0,0,0,12506,08,06,2026,1,02,28,,2026.00,2.50,2.50,0.00,30049099,3.68000000,3.68000000,0.00000000,02/28,,1537124,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,OTHERS (G),22625,TNT,TANTRA JELLY 50*5GM,50*5GM,J534,01-10-28,1.00000000000000,0.00000000000000,0,288.4,286.37,1359.38,3,,0,0,279.75,L,0,0,0,12506,08,06,2026,1,10,28,,2026.00,2.50,2.50,0.00,30049099,6.99000000,6.99000000,0.00000000,10/28,,1503142,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,UNIVENTIS - ULTIMA,30340,ORVG,ORAVENT GEL 15GM,L 15GM,50426,01-10-27,1.00000000000000,0.00000000000000,0,21.34,19.97,73.73,3,,0,0,20.70,L,0,0,0,12506,08,06,2026,1,10,27,,2026.00,2.50,2.50,0.00,30049065,0.52000000,0.52000000,0.00000000,10/27,,1515582,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,UNIVENTIS - ULTIMA,35077,TRCTC,TRIZACET COLD  DS RF SUSP 60ML,60ML,L0165003,01-03-27,1.00000000000000,0.00000000000000,0,21.16,19.82,73.68,3,,0,0,20.53,L,0,0,0,12506,08,06,2026,1,03,27,,2026.00,2.50,2.50,0.00,30049065,0.51000000,0.51000000,0.00000000,03/27,,1478461,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-74761,08/06/2026,UNIVENTIS - ULTIMA,26562,VNTMXW,VENTIMOX CV 228.5 SUSP 30ML (WFI),(WFI),54036006,01-07-27,1.00000000000000,0.00000000000000,0,28.35,27.76,64.88,3,,0,0,27.50,L,0,0,0,12506,08,06,2026,1,07,27,,2026.00,2.50,2.50,0.00,30049065,0.69000000,0.69000000,0.00000000,07/27,,1515196,0.00,0.00
