SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,FDC-ELECTRAL,42526,ELCL21,ELECTRAL 21.8GM (LIME) SACH. 1PC,1 PC,035L047,01-11-27,5.00000000000000,0.00000000000000,0,17.56,17.56,23.05,3,,0,0,85.17,L,0,0,0,12506,03,08,2026,1,11,27,,2184.00,2.50,2.50,0.00,30049086,2.13000000,2.13000000,0.00000000,11/27,,1556067,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,GLM-GLENMARK,2763,CTC,CANDITRAL 100MG 10 CAP,10 CAP,05250869A,01-11-27,1.00000000000000,0.00000000000000,0,114.07,114.07,149.72,3,,0,0,110.65,L,0,0,0,12506,03,08,2026,1,11,27,,2184.00,2.50,2.50,0.00,30049029,2.77000000,2.77000000,0.00000000,11/27,,1559270,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,LUPIN GEN,41050,LPDM,LUPIDIUM TAB 1*10,1*10 TAB,002A26CB,01-06-28,2.00000000000000,0.00000000000000,0,3.05,3.05,12.75,3,,0,0,5.92,L,0,0,0,12506,03,08,2026,1,06,28,,2184.00,2.50,2.50,0.00,30049099,0.15000000,0.15000000,0.00000000,06/28,,1544870,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,LEEF-WELNESS,23702,NZCL,NOZCALM NASAL SPRAY 20 ML,20 ML,DLSZ5004,01-03-27,1.00000000000000,0.00000000000000,0,16.2,16.2,46,3,,0,0,15.71,L,19,1,0,12506,03,08,2026,1,03,27,,2184.00,2.50,2.50,0.00,30049099,0.39000000,0.39000000,0.00000000,03/27,,1493384,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,CADILA (GEN),28929,CMP500,CAMPICILIN 500MG 1*10 CAP,10 CAP,AB26003,01-02-28,1.00000000000000,0.00000000000000,0,35.07,34.35,89.95,3,,0,0,34.02,L,0,0,0,12506,03,08,2026,1,02,28,,2184.00,2.50,2.50,0.00,30041020,0.85000000,0.85000000,0.00000000,02/28,,1550311,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,INNOVENTIS MEDICARE LTD,37419,ENTRL,ENTEROLIUM SUSP 5ML,5ML,DELT00126,01-02-28,10.00000000000000,0.00000000000000,0,15.19,14.22,60.93,3,,0,0,147.34,L,0,0,0,12506,03,08,2026,1,02,28,,2184.00,2.50,2.50,0.00,30049099,3.68000000,3.68000000,0.00000000,02/28,,1555417,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,ALKEM-FUTURA NEXX,35221,OM150,OMEE TAB 150MG 1*30,1*30TAB,OMT26047SD,01-03-28,1.00000000000000,0.00000000000000,0,22.78,22.3,50.6,3,,0,0,22.10,L,0,0,0,12506,03,08,2026,1,03,28,,2184.00,2.50,2.50,0.00,30049033,0.55000000,0.55000000,0.00000000,03/28,,1555871,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,RANBAXY (G),29682,HST150,HISTAC 150MG 1*30 TAB,30 TAB,DFH3630A,01-05-28,1.00000000000000,0.00000000000000,0,22.34,22.48,46.17,3,,0,0,21.67,L,0,0,0,12506,03,08,2026,1,05,28,,2184.00,2.50,2.50,0.00,30049099,0.54000000,0.54000000,0.00000000,05/28,,1567044,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,PF-GPSS,79,BSC,BECOSULE 1* 20 CAP,20 CAP,2623043N,01-09-27,4.60000000000000,0.40000000000000,0,54.87,54.87,68.6,3,,0,0,244.83,L,23,2,0,12506,03,08,2026,1,09,27,,2184.00,2.50,2.50,0.00,30045039,6.12000000,6.12000000,0.00000000,09/27,,1558775,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,CP-MEGNA EVANEXT,380,HGL,HAEM-UP 100 GEMS,100 GEMS,JSJAB26025,01-10-28,1.00000000000000,0.00000000000000,0,310.86,310.86,408,3,,0,0,301.53,L,11,1,0,12506,03,08,2026,1,10,28,,2184.00,2.50,2.50,0.00,30045090,7.54000000,7.54000000,0.00000000,10/28,,1559238,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,MD-MACPHER,30000,PANPP,PANDERM ++ 15GM CREAM (NEW),(NEW),18260313A,01-12-27,1.00000000000000,0.00000000000000,0,83.99,83.99,110.25,3,,0,0,81.47,L,6,1,0,12506,03,08,2026,1,12,27,,2184.00,2.50,2.50,0.00,30042039,2.04000000,2.04000000,0.00000000,12/27,,1525312,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,INT-INTAS (G),23847,OFLOZ,OFLOTAS OZ TAB 1*10,B 1*10,STI26271,01-05-28,2.00000000000000,0.00000000000000,0,21.23,20.78,145.31,3,,0,0,41.19,L,0,0,0,12506,03,08,2026,1,05,28,,2184.00,2.50,2.50,0.00,30042034,1.03000000,1.03000000,0.00000000,05/28,,1567501,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,PIL (GEN),24520,NSPA,NASOPIL NASAL DROP (ADULT),ADULT),6111,01-05-28,1.00000000000000,0.00000000000000,0,18.38,17.98,54.09,3,,0,0,17.83,L,0,0,0,12506,03,08,2026,1,05,28,,2184.00,2.50,2.50,0.00,30049099,0.45000000,0.45000000,0.00000000,05/28,,1571123,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-135570,03/08/2026,BHARAT PHARMACY,26938,PXYF,PARAOXY FORTE 1*20 TAB (5 BOX+RICE),20 TAB,3574,01-11-27,5.00000000000000,0.00000000000000,0,13.61,13.43,104,3,,0,0,66.01,L,0,0,0,12506,03,08,2026,1,11,27,,2184.00,2.50,2.50,0.00,30049099,1.65000000,1.65000000,0.00000000,11/27,,1562907,0.00,0.00
