SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,IPCA-DYNAMIX,8156,TO2,TENOLOL 25MG 14`TAB,14`TAB,HZ1226001BH,01-03-28,1.00000000000000,0.00000000000000,0,42.67,42.67,56,3,,0,0,41.39,L,0,0,0,12506,31,07,2026,1,03,28,,2841.00,2.50,2.50,0.00,30049074,1.03000000,1.03000000,0.00000000,03/28,,1553189,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,USV-PHARMA,39841,ONR1,ONARNI  100MG 14 TAB,14 TAB,6RG04015B,01-03-28,2.00000000000000,0.00000000000000,0,171.2,171.2,224.7,3,,0,0,332.13,L,0,0,0,12506,31,07,2026,1,03,28,,2841.00,2.50,2.50,0.00,30049099,8.30000000,8.30000000,0.00000000,03/28,,1559750,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,SS-SYSTOPIC,7877,LVZ5,LEVOSIZ-5MG 15 TAB (PLAN),15 TAB,HLF022610,01-01-28,2.00000000000000,0.00000000000000,0,25.14,25.143,33,3,,0,0,48.77,L,0,0,0,12506,31,07,2026,1,01,28,,2841.00,2.50,2.50,0.00,30049031,1.22000000,1.22000000,0.00000000,01/28,,1564454,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,HM-ZEAL,4317,CONT,CONFIDO 60`TAB,60`TAB,106260375,01-03-29,1.00000000000000,0.00000000000000,0,185.14,185.14,243,3,,0,0,179.59,L,0,0,0,12506,31,07,2026,1,03,29,,2841.00,2.50,2.50,0.00,30049011,4.49000000,4.49000000,0.00000000,03/29,,1561660,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,MICRO-CC,6734,ADR2,AMIODAR 200MG 10`TAB,10`TAB,AUTP0037,01-11-28,2.00000000000000,0.00000000000000,0,93.64,93.64,122.9,3,,0,0,181.66,L,10,1,0,12506,31,07,2026,1,11,28,,2841.00,2.50,2.50,0.00,30049079,4.54000000,4.54000000,0.00000000,11/28,,1519091,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,UN-PECEF,40288,LAXL2,LAXOLITE 200ML LIQUID,200ML,YSUX26010,01-03-28,1.00000000000000,0.00000000000000,0,309.87,309.87,406.69,3,,0,0,300.57,L,5,1,0,12506,31,07,2026,1,03,28,,2841.00,2.50,2.50,0.00,30049039,7.51000000,7.51000000,0.00000000,03/28,,1566697,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,ARISTO (TF),38145,PRD4,PROSTAGARD ( D ) 4MG 10 CAP,10 CAP,BYL01ABB,01-12-27,2.00000000000000,0.00000000000000,0,142.14,142.14,186.56,3,,0,0,275.75,L,0,0,0,12506,31,07,2026,1,12,27,,2841.00,2.50,2.50,0.00,30049099,6.89000000,6.89000000,0.00000000,12/27,,1547662,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,JP-FEMBON,38992,EQLNT,EQUILIBRIUM 1*15 TAB (NEW),15 TAB,JET-4088,01-10-28,0.80000000000000,0.20000000000000,0,75.06,75.06,98.51,3,,0,0,58.25,L,4,1,0,12506,31,07,2026,1,10,28,,2841.00,2.50,2.50,0.00,30049089,1.46000000,1.46000000,0.00000000,10/28,,1511055,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,GLM-GLENMARK,2763,CTC,CANDITRAL 100MG 10 CAP,10 CAP,05250869A,01-11-27,1.00000000000000,0.00000000000000,0,114.07,114.07,149.72,3,,0,0,110.65,L,0,0,0,12506,31,07,2026,1,11,27,,2841.00,2.50,2.50,0.00,30049029,2.77000000,2.77000000,0.00000000,11/27,,1568935,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,CADILA (GEN),38000,RSBTG,ROSUBEST GOLD 20MG CAP 1*10,1*10 CAP,AK26002,01-02-28,2.00000000000000,0.00000000000000,0,61.24,59.95,238.97,3,,0,0,118.81,L,0,0,0,12506,31,07,2026,1,02,28,,2841.00,2.50,2.50,0.00,30042062,2.97000000,2.97000000,0.00000000,02/28,,1561694,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,CPLG-RETAIL VISTA,30430,ESLXP,EASYLAX PLUS ORAL EMUL 170ML,170ML,L0345020,01-04-27,1.00000000000000,0.00000000000000,0,29.48,30.23,162.21,3,,0,0,28.60,L,0,0,0,12506,31,07,2026,1,04,27,,2841.00,2.50,2.50,0.00,30049032,0.72000000,0.72000000,0.00000000,04/27,,1518444,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,UNIVENTIS - ULTIMA,26426,MTVT25,METOVENT 25 XL 1*10 TAB,10 TAB,IB375002,01-07-27,2.00000000000000,0.00000000000000,0,12.15,11.38,44.2,3,,0,0,23.57,L,0,0,0,12506,31,07,2026,1,07,27,,2841.00,2.50,2.50,0.00,30049065,0.59000000,0.59000000,0.00000000,07/27,,1416606,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,UNIVENTIS - ULTIMA,31474,PCVTS,PICOVENT LAXATIVE SYP 100ML,100ML,L0716001,01-01-28,1.00000000000000,0.00000000000000,0,27.87,26.11,99.8,3,,0,0,27.03,L,0,0,0,12506,31,07,2026,1,01,28,,2841.00,2.50,2.50,0.00,30049065,0.68000000,0.68000000,0.00000000,01/28,,1527138,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,ZY-ALIDAC FORTI,534,OCC,OCID 20MG 20`CAP,20`CAP,IB00564A,01-11-27,2.00000000000000,0.00000000000000,0,46.7,46.7,61.3,3,,0,0,90.60,L,9,1,0,12506,31,07,2026,1,11,27,,2841.00,2.50,2.50,0.00,30049034,2.26000000,2.26000000,0.00000000,11/27,,1568654,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-132443,31/07/2026,ABT-MAGNUS,4057,RHR,THYRONORM 50MG 1*120`TAB,20`TAB,TMD26194,01-04-28,1.00000000000000,0.00000000000000,0,101.23,101.23,132.87,3,,0,0,98.19,L,0,0,0,12506,31,07,2026,1,04,28,,2841.00,2.50,2.50,0.00,30049082,2.45000000,2.45000000,0.00000000,04/28,,1560993,0.00,0.00
