SUPPLIER,BILL NO.,DATE,COMPANY,CODE,BARCODE,ITEM NAME,PACK,BATCH,EXPIRY,QTY,F.QTY,HALFP,FTRATE,SRATE,MRP,DIS,EXCISE,VAT,ADNLVAT,AMOUNT,LOCALCENT,SCM1,SCM2,SCMPER,CUSTCODE,INVDAY,INVMONTH,INVYEAR,EXPDAY,EXPMONTH,EXPYEAR,SUPPCODE,INV.AMT,CGST,SGST,IGST,HSNCode,CGSTAmt,SGSTAmt,IGSTAmt,EXPDT,CUSTORDNO,PSRLNO,TCSPER,TCSAMT
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,INT-XENITH,40961,LIPIAS4,LIPICURE-AS 40MG 10 TAB,10 TAB,INP26SA02,01-01-28,3.00000000000000,0.00000000000000,0,117.79,117.79,154.6,3,,0,0,342.77,L,0,0,0,12506,24,08,2026,1,01,28,,3751.00,2.50,2.50,0.00,30049039,8.57000000,8.57000000,0.00000000,01/28,,1529831,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,CPL-VITALIS (1),36537,M3D50,METOLAR (3D ) 50MG 10 TAB,10 TAB,AMO01BDB,01-02-28,3.00000000000000,0.00000000000000,0,129.64,129.64,170.15,3,,0,0,377.25,L,0,0,0,12506,24,08,2026,1,02,28,,3751.00,2.50,2.50,0.00,30049079,9.43000000,9.43000000,0.00000000,02/28,,1559109,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,TH-ENREA,34607,TICR,TICAPRIDE 90MG 14 TAB,14 TAB,LGQ04/238/03,01-03-28,3.64000000000000,0.36000000000000,0,285,285,374,3,,0,0,1006.28,L,10,1,0,12506,24,08,2026,1,03,28,,3751.00,2.50,2.50,0.00,30049099,25.16000000,25.16000000,0.00000000,03/28,,1579107,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,IPCA-PHARMA-NEXT,8152,SVDS,SOLVIN COLD 60ML SUS.,L SUS.,HWV0526003R,01-02-28,1.00000000000000,0.00000000000000,0,67.04,67.04,88,3,,0,0,65.03,L,9,1,0,12506,24,08,2026,1,02,28,,3751.00,2.50,2.50,0.00,30049069,1.63000000,1.63000000,0.00000000,02/28,,1574375,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,HM-ZEAL,4317,CONT,CONFIDO 60`TAB,60`TAB,106260375,01-03-29,1.00000000000000,0.00000000000000,0,185.14,185.14,243,3,,0,0,179.59,L,0,0,0,12506,24,08,2026,1,03,29,,3751.00,2.50,2.50,0.00,30049011,4.49000000,4.49000000,0.00000000,03/29,,1569056,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,MD-MACPHER,26067,MACJS,MACBERY JUNIOR 60ML,R 60ML,18261343A,01-02-28,1.00000000000000,0.00000000000000,0,76.22,76.22,100.03,3,,0,0,73.93,L,6,1,0,12506,24,08,2026,1,02,28,,3751.00,2.50,2.50,0.00,30049094,1.85000000,1.85000000,0.00000000,02/28,,1582618,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,GLD-GALDERMA,42238,CBMB1,CETAPHIL BABY 100GM (MILD BAR ),100GM,GCB26044,01-04-28,1.00000000000000,0.00000000000000,0,161.36,161.36,238,3,,0,0,156.52,L,0,0,0,12506,24,08,2026,1,04,28,,3751.00,9.00,9.00,0.00,34011190,14.09000000,14.09000000,0.00000000,04/28,,1578720,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,TORQUE GEN,23016,FNGB,FUNGNIL-B CREAM 1*15GM,*15GM,D34826001,01-06-28,1.00000000000000,0.00000000000000,0,17.01,16.63,107,3,,0,0,16.50,L,0,0,0,12506,24,08,2026,1,06,28,,3751.00,2.50,2.50,0.00,30049029,0.41000000,0.41000000,0.00000000,06/28,,1567930,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,UNIVENTIS - ULTIMA,41973,VNT3,VENTIMOX 125MG DRY SYP 60ML,30 ML,54005002,01-02-27,1.00000000000000,0.00000000000000,0,18.14,17.76,65.52,3,,0,0,17.60,L,0,0,0,12506,24,08,2026,1,02,27,,3751.00,2.50,2.50,0.00,30041090,0.44000000,0.44000000,0.00000000,02/27,,1416674,0.00,0.00
DHIMAN MEDICOS (BINEWAL),SB-26-158815,24/08/2026,FRANKLIN,22739,PRMCS,PARAMOL C + 1*10 TAB,10 TAB,PMCN-106,01-03-29,2.00000000000000,0.00000000000000,0,18.36,17.98,51,3,,0,0,35.62,L,0,0,0,12506,24,08,2026,1,03,29,,3751.00,2.50,2.50,0.00,30049099,0.89000000,0.89000000,0.00000000,03/29,,1572340,0.00,0.00
